stage,engine,query,filter,sel,threads,warm_s
g-1m-q,D-JOIN,Q5,F4,S0,1,0.163937
g-1m-q,D-JOIN,Q5,F4,S0,4,0.102028
g-1m-q,D-JOIN,Q5,F4,S1,1,0.027698
g-1m-q,D-JOIN,Q5,F4,S1,4,0.026921
g-1m-q,D-JOIN,Q5,F5,S0,1,0.018650
g-1m-q,D-JOIN,Q5,F5,S0,4,0.020839
g-1m-q,D-JOIN,Q5,F5,S1,1,0.026906
g-1m-q,D-JOIN,Q5,F5,S1,4,0.028251
g-1m-q,A-ALIGNED,Q1,F1,S0,1,0.015633
g-1m-q,A-ALIGNED,Q1,F1,S0,4,0.010287
g-1m-q,A-ALIGNED,Q1,F1,S1,1,0.013240
g-1m-q,A-ALIGNED,Q1,F1,S1,4,0.009541
g-1m-q,A-ALIGNED,Q1,F2,S0,1,0.009031
g-1m-q,A-ALIGNED,Q1,F2,S0,4,0.007817
g-1m-q,A-ALIGNED,Q1,F2,S1,1,0.008025
g-1m-q,A-ALIGNED,Q1,F2,S1,4,0.007700
g-1m-q,A-ALIGNED,Q1,F3,S0,1,0.014608
g-1m-q,A-ALIGNED,Q1,F3,S0,4,0.012634
g-1m-q,A-ALIGNED,Q1,F3,S1,1,0.015580
g-1m-q,A-ALIGNED,Q1,F3,S1,4,0.009436
g-1m-q,A-ALIGNED,Q1,F4,S0,1,0.049318
g-1m-q,A-ALIGNED,Q1,F4,S0,4,0.022996
g-1m-q,A-ALIGNED,Q1,F4,S1,1,0.019988
g-1m-q,A-ALIGNED,Q1,F4,S1,4,0.011438
g-1m-q,A-ALIGNED,Q1,F5,S0,1,0.012201
g-1m-q,A-ALIGNED,Q1,F5,S0,4,0.009501
g-1m-q,A-ALIGNED,Q1,F5,S1,1,0.014561
g-1m-q,A-ALIGNED,Q1,F5,S1,4,0.010805
g-1m-q,A-ALIGNED,Q2,F1,S0,1,0.016759
g-1m-q,A-ALIGNED,Q2,F1,S0,4,0.011471
g-1m-q,A-ALIGNED,Q2,F1,S1,1,0.013698
g-1m-q,A-ALIGNED,Q2,F1,S1,4,0.010719
g-1m-q,A-ALIGNED,Q2,F2,S0,1,0.009513
g-1m-q,A-ALIGNED,Q2,F2,S0,4,0.008657
g-1m-q,A-ALIGNED,Q2,F2,S1,1,0.008369
g-1m-q,A-ALIGNED,Q2,F2,S1,4,0.008701
g-1m-q,A-ALIGNED,Q2,F3,S0,1,0.018844
g-1m-q,A-ALIGNED,Q2,F3,S0,4,0.010898
