engine,query,filter,sel,threads,cold_s,warm_s
A-ALIGNED,Q3,F3,S1,4,0.042555,0.009095
A-ALIGNED,Q3,F4,S0,1,0.043857,0.009114
A-ALIGNED,Q3,F4,S0,4,0.042314,0.008778
A-ALIGNED,Q3,F4,S1,1,0.043472,0.009154
A-ALIGNED,Q3,F4,S1,4,0.043797,0.008953
A-ALIGNED,Q3,F5,S0,1,0.042552,0.009018
A-ALIGNED,Q3,F5,S0,4,0.043641,0.009344
A-ALIGNED,Q3,F5,S1,1,0.046359,0.009768
A-ALIGNED,Q3,F5,S1,4,0.047495,0.009232
A-ALIGNED,Q5,F1,S0,1,0.040769,0.018422
A-ALIGNED,Q5,F1,S0,4,0.030292,0.011376
A-ALIGNED,Q5,F1,S1,1,0.033991,0.017638
A-ALIGNED,Q5,F1,S1,4,0.030670,0.011590
A-ALIGNED,Q5,F2,S0,1,0.027419,0.009800
A-ALIGNED,Q5,F2,S0,4,0.027446,0.008548
A-ALIGNED,Q5,F2,S1,1,0.027836,0.009161
A-ALIGNED,Q5,F2,S1,4,0.026565,0.008606
A-ALIGNED,Q5,F3,S0,1,0.044015,0.016154
A-ALIGNED,Q5,F3,S0,4,0.030125,0.010963
A-ALIGNED,Q5,F3,S1,1,0.035433,0.015124
A-ALIGNED,Q5,F3,S1,4,0.035332,0.012535
A-ALIGNED,Q5,F4,S0,1,0.072466,0.045624
A-ALIGNED,Q5,F4,S0,4,0.047590,0.022146
A-ALIGNED,Q5,F4,S1,1,0.038791,0.019217
A-ALIGNED,Q5,F4,S1,4,0.031773,0.012828
A-ALIGNED,Q5,F5,S0,1,0.033408,0.013956
A-ALIGNED,Q5,F5,S0,4,0.029598,0.010725
A-ALIGNED,Q5,F5,S1,1,0.039738,0.017630
A-ALIGNED,Q5,F5,S1,4,0.029208,0.011117
A-NORMAL,Q1,F1,S0,1,0.036764,0.017733
A-NORMAL,Q1,F1,S0,4,0.030160,0.011624
A-NORMAL,Q1,F1,S1,1,0.034260,0.015647
A-NORMAL,Q1,F1,S1,4,0.030645,0.010712
A-NORMAL,Q1,F2,S0,1,0.031235,0.010383
A-NORMAL,Q1,F2,S0,4,0.031945,0.008954
A-NORMAL,Q1,F2,S1,1,0.027177,0.010082
A-NORMAL,Q1,F2,S1,4,0.026513,0.008463
A-NORMAL,Q1,F3,S0,1,0.036134,0.015545
A-NORMAL,Q1,F3,S0,4,0.029762,0.010916
A-NORMAL,Q1,F3,S1,1,0.036562,0.014538
A-NORMAL,Q1,F3,S1,4,0.031061,0.010978
A-NORMAL,Q1,F4,S0,1,0.071639,0.046925
A-NORMAL,Q1,F4,S0,4,0.045572,0.022923
A-NORMAL,Q1,F4,S1,1,0.038721,0.019166
A-NORMAL,Q1,F4,S1,4,0.033974,0.011540
A-NORMAL,Q1,F5,S0,1,0.034920,0.015155
A-NORMAL,Q1,F5,S0,4,0.038096,0.011034
A-NORMAL,Q1,F5,S1,1,0.033778,0.015492
A-NORMAL,Q1,F5,S1,4,0.028609,0.010303
A-NORMAL,Q2,F1,S0,1,0.036090,0.015948
A-NORMAL,Q2,F1,S0,4,0.030168,0.011174
A-NORMAL,Q2,F1,S1,1,0.032102,0.013281
A-NORMAL,Q2,F1,S1,4,0.027826,0.009379
A-NORMAL,Q2,F2,S0,1,0.026422,0.009136
A-NORMAL,Q2,F2,S0,4,0.027047,0.008321
A-NORMAL,Q2,F2,S1,1,0.025305,0.008485
A-NORMAL,Q2,F2,S1,4,0.025795,0.007957
A-NORMAL,Q2,F3,S0,1,0.040535,0.016122
A-NORMAL,Q2,F3,S0,4,0.033014,0.011330
A-NORMAL,Q2,F3,S1,1,0.033734,0.017407
A-NORMAL,Q2,F3,S1,4,0.030987,0.010408
A-NORMAL,Q2,F4,S0,1,0.066297,0.044526
A-NORMAL,Q2,F4,S0,4,0.043032,0.024702
A-NORMAL,Q2,F4,S1,1,0.039815,0.021075
A-NORMAL,Q2,F4,S1,4,0.035818,0.011780
A-NORMAL,Q2,F5,S0,1,0.032718,0.012974
